accountid,cred_date,date_ref,tempo_de_casa,max_machine,assunto_short,waitingtime,pesquisa_sat
1,1,1,3.0,1,1,15.0,1
1,1,1,3.0,1,2,15.0,1
1,1,2,57.0,1,2,1.0,1
2,2,3,1.0,2,3,6.0,1
2,2,3,1.0,2,4,6.0,1
2,2,3,1.0,2,2,6.0,1
2,2,4,8.0,2,1,10.0,1
3,3,5,1.0,2,1,4.0,1
3,3,5,1.0,2,3,4.0,1
4,4,6,26.0,3,1,10.0,1
4,4,7,39.0,3,5,7.0,1
5,5,8,17.0,2,1,23.0,1
6,6,9,58.0,1,3,4.0,1
6,6,10,71.0,1,3,3.0,1
7,7,11,41.0,3,1,10.0,1
7,7,11,41.0,3,2,10.0,1
7,7,12,49.0,3,2,6.0,1
7,7,12,49.0,3,2,7.0,1
8,8,13,8.0,2,6,711.0,1
8,8,14,33.0,2,4,15.0,1
8,8,14,33.0,2,2,15.0,1
8,8,15,35.0,2,2,9.0,1
9,2,16,7.0,2,6,12.0,1
9,2,17,28.0,2,6,32.0,1
9,2,18,43.0,2,7,4.0,1
10,9,19,19.0,1,8,4.0,1
10,9,20,38.0,1,8,15.0,1
11,10,21,12.0,1,2,14.0,1
12,11,22,65.0,3,1,3.0,1
13,12,23,11.0,3,1,23.0,1
13,12,24,12.0,3,2,6.0,1
14,13,21,-1.0,3,2,8.0,1
14,13,25,9.0,3,8,10.0,1
14,13,26,43.0,3,1,6.0,1
15,14,27,2.0,3,1,7.0,1
16,15,28,29.0,2,6,5.0,1
16,15,21,84.0,2,3,2.0,1
17,16,29,-2.0,2,4,4.0,2
17,16,30,10.0,2,3,9.0,3
17,16,31,54.0,2,1,4.0,1
17,16,32,55.0,2,1,4.0,1
17,16,32,55.0,2,2,4.0,1
17,16,33,62.0,2,1,11.0,1
18,17,34,21.0,2,3,15.0,1
19,18,35,0.0,2,2,11.0,2
19,18,36,1.0,2,2,7.0,2
20,19,37,23.0,3,3,10.0,2
21,20,38,41.0,3,1,6.0,1
21,20,38,41.0,3,8,55.0,1
22,21,11,16.0,1,3,7.0,1
22,21,11,16.0,1,3,7.0,1
22,21,39,35.0,1,2,3.0,1
23,22,40,7.0,3,2,11.0,1
23,22,24,9.0,3,2,189.0,1
24,23,41,1.0,3,1,18.0,1
24,23,41,1.0,3,2,18.0,2
24,23,42,10.0,3,1,7.0,2
24,23,43,83.0,3,1,16.0,1
24,23,44,87.0,3,1,11.0,1
25,24,45,5.0,2,9,5.0,2
25,24,45,5.0,2,2,5.0,1
26,25,46,26.0,3,3,8.0,2
27,26,14,4.0,3,1,13.0,1
27,26,14,4.0,3,10,13.0,1
27,26,47,5.0,3,11,16.0,1
27,26,47,5.0,3,3,16.0,1
27,26,47,5.0,3,2,16.0,1
27,26,15,6.0,3,11,14.0,1
27,26,15,6.0,3,3,14.0,1
27,26,11,21.0,3,2,144.0,1
27,26,48,39.0,3,1,10.0,1
27,26,9,76.0,3,7,6.0,1
28,27,49,75.0,3,2,19.0,1
28,27,20,78.0,3,1,17.0,1
28,27,50,90.0,3,1,2.0,1
28,27,51,97.0,3,3,17.0,1
28,27,48,102.0,3,2,14.0,1
28,27,52,116.0,3,2,29.0,1
28,27,5,128.0,3,2,9.0,1
29,25,53,14.0,1,1,13.0,1
29,25,53,14.0,1,2,13.0,2
29,25,53,14.0,1,2,15.0,1
29,25,54,35.0,1,1,296.0,2
29,25,55,111.0,1,1,8.0,1
30,28,31,172.0,1,1,11.0,1
31,29,56,-1.0,1,4,11.0,2
31,29,57,11.0,1,1,11.0,2
31,29,58,93.0,1,1,11.0,1
31,29,39,98.0,1,8,12.0,1
31,29,59,102.0,1,8,7.0,1
31,29,21,104.0,1,7,25.0,1
31,29,60,112.0,1,1,24.0,1
31,29,2,113.0,1,12,10.0,1
